Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
USDT,2020-04-30,1.0012173563,1.0017972978,1.002984196,0.9969396858
USDT,2020-05-01,1.0017831129,1.0012173563,1.0038066511,0.9994798063
USDT,2020-05-02,1.0032167168,1.0017831129,1.0036669792,1.0009219933
USDT,2020-05-03,1.0008208895,1.0034197562,1.0034676225,0.9999935443
USDT,2020-05-04,1.0015744566,1.0008208895,1.0029888488,0.9993058695
USDT,2020-05-05,1.0013612603,1.0015744566,1.0032815174,1.0001506176
USDT,2020-05-06,1.001522273,1.0013612603,1.0043174725,1.0006943926
USDT,2020-05-07,1.00147528,1.001522273,1.0029417712,0.9991161477
USDT,2020-05-08,1.0047348369,1.00147528,1.0047502446,1.0008963714
USDT,2020-05-09,1.0017037781,1.0047348369,1.0047765206,1.0015765852
USDT,2020-05-10,1.0011985416,1.0017037781,1.0128499147,0.9981542558
USDT,2020-05-11,1.0008030547,1.0011985416,1.002093263,1.0001355529
USDT,2020-05-12,1.0011676574,1.0008030547,1.001766284,1.000058067
USDT,2020-05-13,1.0012750916,1.0011081549,1.0031549394,1.0002091624
USDT,2020-05-14,1.0004978328,1.0012750916,1.0031255688,0.9993961779
USDT,2020-05-15,0.9996533937,1.0004995947,1.0009626799,0.9977641168
USDT,2020-05-16,0.9999418237,0.9996533937,1.0003496716,0.9988318992
USDT,2020-05-17,0.9993972274,0.9999419097,1.0002845141,0.9981366386
USDT,2020-05-18,0.9997607586,0.9995542357,1.000300787,0.9977364059
USDT,2020-05-19,1.0001998994,0.9996331557,1.002662283,0.997773382
USDT,2020-05-20,1.0003351489,1.0001989601,1.0010842285,0.9989913634
USDT,2020-05-21,1.0000541227,1.0003351489,1.0025580187,0.9976818153
USDT,2020-05-22,1.0005522416,1.0000541227,1.0012569967,0.9964546335
USDT,2020-05-23,1.0004138686,1.0005522416,1.000971632,0.9987563052
USDT,2020-05-24,0.9997617451,1.0004138686,1.0007196483,0.9997105848
USDT,2020-05-25,1.0001131881,0.9997617451,1.000649278,0.9991341216
USDT,2020-05-26,1.0004203399,1.0001131881,1.0011193655,0.9992651784
USDT,2020-05-27,1.0000930957,1.0004203399,1.0016304311,0.998181359
USDT,2020-05-28,1.0000676606,1.0000930957,1.0006611053,0.9156468946
USDT,2020-05-29,0.999958583,1.0000676606,1.0037644054,0.998465417
USDT,2020-05-30,0.999727627,1.0002972307,1.0004822688,0.9987172555
USDT,2020-05-31,0.9993084123,0.9998201442,1.0003148886,0.9991168713
USDT,2020-06-01,1.0005768225,0.9993084123,1.0032680304,0.9986270018
USDT,2020-06-02,1.0006578875,1.0005436754,1.0030660307,0.994519722
USDT,2020-06-03,1.0001717044,1.0006578875,1.0013205476,0.9989414566
USDT,2020-06-04,1.0000593409,1.0001717044,1.0012527622,0.9979195429
USDT,2020-06-05,1.0003889949,1.0000593409,1.0021315481,0.9991540155
USDT,2020-06-06,1.0004188879,1.0003889949,1.0017450619,0.9993558069
USDT,2020-06-07,1.0001005332,1.0004188879,1.0014908895,0.9994952216
USDT,2020-06-08,1.0001083145,1.0001005332,1.0014845729,0.9995562982
USDT,2020-06-09,1.0011045578,1.0001083145,1.0016510584,0.9985037538
USDT,2020-06-10,1.0008607998,1.0011045578,1.0027620367,0.9991164938
USDT,2020-06-11,0.9990812518,1.0008607998,1.0022063927,0.9978708219
USDT,2020-06-12,1.0001595984,0.9990812518,1.002525753,0.9983927793
USDT,2020-06-13,1.0002644233,1.0001595984,1.0006942538,0.9991677576
USDT,2020-06-14,0.9994085957,1.0002644233,1.0007348964,0.9993132114
USDT,2020-06-15,1.0003264959,0.9994085957,1.0013160026,0.9981606226
USDT,2020-06-16,0.9995424477,1.0003264959,1.0029583538,0.9979183591
USDT,2020-06-17,0.9996256463,0.9995424474,1.0023623216,0.9985683669
USDT,2020-06-18,0.9990976585,0.9996256463,1.0017367258,0.9984340164
USDT,2020-06-19,0.9992818171,0.9990997589,1.001428512,0.9978650836
USDT,2020-06-20,0.9993846507,0.9992165607,0.9999642309,0.9986552031
USDT,2020-06-21,0.9994181677,0.9993846483,0.9998444187,0.9987104134
USDT,2020-06-22,0.999401577,0.9994181677,1.0011686098,0.9982328938
USDT,2020-06-23,1.0002726401,0.999401577,1.0014888843,0.9986104968
USDT,2020-06-24,0.9994624781,1.0002726401,1.0029737671,0.9971854462
USDT,2020-06-25,0.9990490796,0.9994624781,1.0014053173,0.9983648885
USDT,2020-06-26,0.999626418,0.9990490796,1.0006707655,0.9980000806
USDT,2020-06-27,0.9998432012,0.999626418,1.00055969,0.9985698614
USDT,2020-06-28,0.9994992878,0.9998432012,1.000464449,0.9993114835
USDT,2020-06-29,0.9996622043,0.9994992878,1.0020348046,0.9981361615
USDT,2020-06-30,1.0003744879,0.9996622043,1.0012494867,0.9988714512
USDT,2020-07-01,1.0007308565,1.000395505,1.001426426,0.9989965803
USDT,2020-07-02,1.000562059,1.0009684716,1.0045558012,0.9999895012
USDT,2020-07-03,1.0010817502,1.001142112,1.0015573384,0.9998159454
USDT,2020-07-04,1.0004189325,1.00088919,1.001110054,0.9997836238
USDT,2020-07-05,1.0008158215,1.0006361388,1.0011919406,0.999508236
USDT,2020-07-06,1.0002019906,1.0007016657,1.0015640916,0.9992604574
USDT,2020-07-07,1.0007517393,1.0002014396,1.0017681996,0.9995868592
USDT,2020-07-08,1.0010677512,1.0007781423,1.0024203628,0.9985336982
USDT,2020-07-09,1.0006051712,1.0011259868,1.0028531369,0.9994708205
USDT,2020-07-10,1.0010903267,1.0007395135,1.0033390695,0.998690254
USDT,2020-07-11,1.0009586428,1.0004786838,1.0015530153,0.9996865621
USDT,2020-07-12,1.000455428,1.0010672542,1.0012025368,1.0000494217
USDT,2020-07-13,0.9996222576,1.0008323497,1.001291277,0.9989937912
USDT,2020-07-14,1.0001723372,0.9998579039,1.0023655478,0.9988649674
USDT,2020-07-15,0.9997495337,1.0007504493,1.0012909553,0.9987047345
USDT,2020-07-16,0.9999046498,0.9991589825,1.0013671564,0.9973634631
USDT,2020-07-17,1.0005156956,0.9996063417,1.000622888,0.998667735
USDT,2020-07-18,1.0012359187,1.0003935419,1.0015670774,0.9999715731
USDT,2020-07-19,1.0000336217,1.0014208094,1.0016843672,1.0000336217
USDT,2020-07-20,1.000843352,1.0002788807,1.002175079,0.9997732786
USDT,2020-07-21,1.000984949,1.0004957758,1.0020808662,0.9977925471
USDT,2020-07-22,1.001769043,1.0011580131,1.0028487254,0.9985235323
USDT,2020-07-23,1.0011989203,1.0013615651,1.0033130617,0.999714838
USDT,2020-07-24,1.0020888266,1.00148,1.0053383122,1
USDT,2020-07-25,1.0019277665,1.0020444212,1.0067236696,1.0011289637
USDT,2020-07-26,1.0004030014,1.0015354201,1.0047807134,1.000033028
USDT,2020-07-27,1.0019303084,1.0008477498,1.0039836905,0.9968314419
USDT,2020-07-28,1.0014708088,1.0019110516,1.0031328514,0.9995725824
USDT,2020-07-29,1.0015681311,1.0017855207,1.0025057623,0.9997601387
USDT,2020-07-30,1.0017362716,1.0017545505,1.0037214483,0.9998560654
USDT,2020-07-31,1.0016804763,1.0011234569,1.0033020931,1.0006586417
USDT,2020-08-01,1.0023624518,1.0015513659,1.0041501887,1.0003262629
USDT,2020-08-02,1.000124466,1.0017434283,1.0081148027,0.9999627768
USDT,2020-08-03,1.0011706073,1.0002322508,1.0028651542,0.9968990306
USDT,2020-08-04,1.0015018836,1.0012709029,1.0036432826,0.9993224131
USDT,2020-08-05,1.0010699414,1.0004428382,1.0038989693,0.9965470735
USDT,2020-08-06,1.0011068608,1.0012542099,1.0035308662,0.9997449518
USDT,2020-08-07,1.0011103751,1.0016300334,1.0053300406,1.0003725306
USDT,2020-08-08,1.0006243865,1.0015493634,1.0026052687,1.00005066
USDT,2020-08-09,1.0009969003,1.0006135123,1.0020922508,1.0003390472
USDT,2020-08-10,1.0010081534,1.0010398246,1.0034638243,0.9997851813
USDT,2020-08-11,1.0002486566,1.0011461861,1.0029964949,0.9995306073
