Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
USDC,2020-06-17,1.0004911549,0.9998495044,1.0034946191,0.9993443676
USDC,2020-06-18,1.0002796304,1.0004911549,1.0027390231,0.9995483699
USDC,2020-06-19,1.0008514315,1.0002815814,1.0025475713,0.9986862
USDC,2020-06-20,0.9998799972,1.0007888089,1.0012314261,0.9996191302
USDC,2020-06-21,1.0007264149,0.9998799948,1.0011098659,0.9995972196
USDC,2020-06-22,0.9994997514,1.0007264149,1.0013273859,0.998592424
USDC,2020-06-23,1.0006960314,0.9994997514,1.0017295443,0.9988583804
USDC,2020-06-24,1.0005927181,1.0006960314,1.0032939151,0.997625109
USDC,2020-06-25,0.99980912,1.0005927181,1.0022817354,0.9994536713
USDC,2020-06-26,1.0005481362,0.99980912,1.0022220517,0.9995562617
USDC,2020-06-27,1.0008633603,1.0005481362,1.0022694629,0.9996757494
USDC,2020-06-28,0.9999917394,1.0008633603,1.0023086706,0.9996384504
USDC,2020-06-29,0.9999760991,0.9999917394,1.0034194737,0.9989045177
USDC,2020-06-30,1.0007668207,0.9999760991,1.0024428096,0.9988564662
USDC,2020-07-01,1.0005407421,1.0005400789,1.0018271605,0.9989808951
USDC,2020-07-02,1.0004778417,1.0004872456,1.0052060282,0.9999742128
USDC,2020-07-03,1.0009695071,1.0010387443,1.0015804194,0.9998483661
USDC,2020-07-04,1.0004086647,1.0007803082,1.001278436,0.999734597
USDC,2020-07-05,1.0006293933,1.000336168,1.0016820343,0.9995086687
USDC,2020-07-06,1.0001064933,1.0003982719,1.0018531959,0.999397751
USDC,2020-07-07,1.0009382281,0.9998194487,1.0018128079,0.9994688556
USDC,2020-07-08,1.0007504507,1.0008728665,1.0064846977,0.9983292905
USDC,2020-07-09,1.0005202116,1.0008942307,1.0032402527,0.9996768254
USDC,2020-07-10,1.0010861827,1.0007910377,1.0037773959,0.9991604392
USDC,2020-07-11,1.001043425,1.0004963605,1.0018159794,0.9998678441
USDC,2020-07-12,1.0003799071,1.0010591708,1.0013251491,0.9998494118
USDC,2020-07-13,1.0005082378,1.0009446043,1.0019813364,0.9992205187
USDC,2020-07-14,1.0001856567,1.0005400692,1.0026847112,0.9991130093
USDC,2020-07-15,1.0004778824,1.0007428087,1.0026691943,0.9994439593
USDC,2020-07-16,1.0006669902,1.000134775,1.0023086022,0.9990519069
USDC,2020-07-17,1.0006887519,1.0001052667,1.0015744769,0.999542147
USDC,2020-07-18,1.0009305606,1.0006831082,1.0015422307,1.0000937206
USDC,2020-07-19,0.9997112978,1.001301879,1.0016039472,0.9997112978
USDC,2020-07-20,1.0007482835,0.9998180562,1.0022860934,0.9997213258
USDC,2020-07-21,1.0002346352,1.0002145006,1.001817654,0.9972116211
USDC,2020-07-22,0.9994478473,1.0005578886,1.0025749539,0.9979021754
USDC,2020-07-23,1.0001110735,0.9995539425,1.0025227993,0.9979131182
USDC,2020-07-24,1.0005693487,1.000579598,1.0043165647,0.9990063942
USDC,2020-07-25,1.0006965616,1.0007118887,1.0049041074,0.9997446067
USDC,2020-07-26,0.9996160176,1.0004135214,1.0023170655,0.9939794571
USDC,2020-07-27,1.0001065715,0.9998473765,1.0019810302,0.9932998519
USDC,2020-07-28,0.9997785857,1.0002961,1.0015400659,0.9986306744
USDC,2020-07-29,1.000445899,0.9996945598,1.0017525085,0.9988816084
USDC,2020-07-30,1.0000408237,1.000929746,1.0034018888,0.9993612842
USDC,2020-07-31,1.0005583194,0.9999070406,1.001886933,0.9993306381
USDC,2020-08-01,1.0006506247,0.9999398289,1.001802539,0.9987065357
USDC,2020-08-02,1.0000309902,1.0004383015,1.0060978542,0.9978738351
USDC,2020-08-03,1.0003905251,1.0002306982,1.0030486877,0.9962042038
